,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,check
11:27.9,0.644126144,1.102045741,0.308721869,0.339284639,0.225855702,0.298467874,-0.108321693,0.004557428,0.7652428,0.424624713,-0.063905707,0.33175056,0.256873344,-0.098519936,-0.328936808,0.388684988,-0.2007591,-0.548749867,-0.750644085,0.010462743,0
11:28.0,0.617207696,1.086398696,0.277244026,0.33077967,0.204515205,0.157870202,-0.129274776,0.00803059,0.765763204,0.404020476,0.033954349,0.351070172,0.254261492,-0.145312766,-0.301813708,0.38179043,-0.19324978,-0.526433662,-0.725378993,0.019594999,0
11:28.1,0.608162475,1.059508342,0.256961235,0.326434537,0.190109076,0.037674169,-0.144902269,0.009436324,0.769575192,0.332842478,0.075632253,0.380205015,0.257502638,-0.181857251,-0.279621115,0.37933822,-0.172285804,-0.516055437,-0.712481107,0.024358416,0
11:28.2,0.58351334,1.004092438,0.238660769,0.309021309,0.162531249,-0.099617827,-0.158489995,0.006735502,0.748003209,0.181604277,0.095443818,0.393413306,0.262682219,-0.21042462,-0.26100612,0.375542966,-0.143698442,-0.510031219,-0.703773093,0.029905151,0
11:28.3,0.409677148,0.919578822,0.223506043,0.210695703,0.007777541,-0.220152213,-0.160948481,-0.022350236,0.483356058,-0.039053534,0.163682112,0.370863769,0.24943911,-0.222359202,-0.238300495,0.352318038,-0.110485048,-0.514122908,-0.697413602,0.027796811,0
11:28.4,0.340807443,0.9142916,0.22639664,0.153983053,-0.047516349,-0.195192996,-0.14678228,-0.055324381,0.392763057,-0.007457695,0.202200541,0.351283473,0.254456349,-0.213772704,-0.21317549,0.328965746,-0.107059821,-0.525353893,-0.694747174,0.022837683,0
11:28.5,0.323800288,0.916597913,0.222080404,0.132670979,-0.067041466,-0.185921296,-0.135986449,-0.08716771,0.379649,0.032144156,0.201641128,0.331668561,0.264492633,-0.204210137,-0.192304818,0.310258813,-0.11843473,-0.53790668,-0.69020585,0.019430342,0
11:28.6,0.333122402,0.928829743,0.209787493,0.149141141,-0.07814255,-0.186491637,-0.130905419,-0.113775899,0.384410705,0.059876225,0.197365273,0.319072898,0.277702723,-0.190690918,-0.174735818,0.294626698,-0.134407998,-0.546688221,-0.682927565,0.018963428,0
11:28.7,0.353334328,0.943506114,0.221055293,0.192814495,-0.079290343,-0.189935956,-0.122297188,-0.125177147,0.386733178,0.079215732,0.209202878,0.332216475,0.293313471,-0.171370637,-0.156535462,0.282770126,-0.148965267,-0.546386542,-0.68068624,0.021500125,0
11:28.8,0.37559498,0.940213915,0.226400107,0.238222463,-0.065149918,-0.187333129,-0.128874124,-0.120225816,0.385329092,0.082105415,0.220556411,0.360164538,0.309027665,-0.153062375,-0.142257864,0.274181218,-0.161248689,-0.538022246,-0.682917727,0.025137903,0
11:28.9,0.395731542,0.918700657,0.22308843,0.273279568,-0.023051467,-0.155998819,-0.134707155,-0.100586727,0.399481405,0.088803684,0.222357449,0.4020696,0.323218801,-0.132891444,-0.130262214,0.267465346,-0.176820173,-0.522973875,-0.687726531,0.031882604,0
11:29.0,0.405491616,0.905387382,0.226859536,0.294238743,0.009516037,-0.09775101,-0.0984938,-0.084055605,0.42431462,0.13895792,0.223670996,0.4020696,0.336632069,-0.119497085,-0.122016541,0.264847436,-0.182322088,-0.514170433,-0.687944738,0.043644039,0
