,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,check
56:20.4,0.9736148,0.039613833,0.539629468,0.993443011,0.62124175,-0.204407044,0.200631617,0.602131553,0.9138527,-0.143245628,0.14519628,0.9882444,0.3846658,-0.201844621,-0.131147447,0.253154869,-0.33337846,-0.577966904,-0.605928609,-0.296247373,0
56:20.5,0.971176142,0.030655966,0.537892088,0.939668098,0.619716894,-0.212098538,0.21275306,0.568829348,0.9138527,-0.155614826,0.1519013,0.9882444,0.382944086,-0.209920537,-0.154920248,0.256571158,-0.334146149,-0.561936185,-0.57581925,-0.230369087,0
56:20.6,0.923220033,0.039685118,0.534320283,0.893398901,0.591821753,-0.19510869,0.224486878,0.535166347,0.9138527,-0.134175149,0.1519013,0.9882444,0.342965976,-0.211175774,-0.179718482,0.291174849,-0.366388114,-0.545225717,-0.546409596,-0.165346061,0
56:20.7,0.956354738,0.05891551,0.533231088,0.893242637,0.625319438,-0.167445666,0.237366558,0.536609288,0.9138527,-0.097880703,0.151217904,0.9882444,0.345558784,-0.210824609,-0.19323601,0.333882486,-0.408617122,-0.534680031,-0.527640725,-0.117762388,0
56:20.8,0.9807723,0.073053166,0.5339234,0.8954767,0.653965,-0.14699756,0.24710387,0.5411231,0.9138527,-0.07070129,0.15007891,0.9882444,0.35131454,-0.20950504,-0.19746226,0.36100033,-0.42375216,-0.5299253,-0.5204466,-0.0930077,0
56:20.9,1.029768572,0.103209479,0.538249326,0.909828966,0.707853278,-0.117308037,0.265525238,0.556599579,0.9138527,-0.05526565,0.152842106,0.9882444,0.361658275,-0.193855898,-0.195933391,0.390427145,-0.416001474,-0.5237652,-0.520344503,-0.06096837,0
56:21.0,1.0506691,0.137684,0.5421767,0.9224871,0.7222386,-0.099260025,0.27798334,0.5681876,0.9138527,-0.05572883,0.1634955,0.9882444,0.34701723,-0.16583194,-0.19121823,0.4053723,-0.41577178,-0.51740646,-0.5242537,-0.03383933,0
56:21.1,1.066585075,0.156535373,0.532817625,0.92299674,0.7180872,-0.108481863,0.263704102,0.559226658,0.9138527,-0.057714617,0.172012968,0.9882444,0.341692193,-0.134862272,-0.186012651,0.389327684,-0.418401085,-0.512698451,-0.526451594,-0.038538855,0
56:21.2,1.0718904,0.15863952,0.4919663,0.91741854,0.7167034,-0.1448884,0.20389341,0.5416219,0.9138527,-0.059211046,0.18753865,0.9882444,0.33991718,-0.09161991,-0.1796429,0.36189088,-0.41927752,-0.50730073,-0.5252167,-0.046967123,0
56:21.3,1.0718904,0.127249877,0.418133981,0.823568487,0.7167034,-0.184809768,0.121085537,0.444929833,0.9138527,-0.074706121,0.176089106,0.931852674,0.33991718,-0.073895794,-0.177493387,0.330458927,-0.41927752,-0.508457956,-0.519430446,-0.04330271,0
56:21.4,0.994294789,0.096731795,0.330089467,0.720956114,0.651777464,-0.206515283,0.058645346,0.356538151,0.736869427,-0.09674336,0.208772606,0.753255867,0.247824413,-0.069206439,-0.174307222,0.323753475,-0.433795429,-0.515718511,-0.512404878,-0.027071282,0
56:21.5,0.935120158,0.097425,0.283655891,0.626808594,0.611743646,-0.199596335,0.052249191,0.292047156,0.358054017,-0.098465874,0.238587982,0.465174251,0.174923035,-0.068663047,-0.166687667,0.32824122,-0.466974327,-0.528447503,-0.506818927,-0.005757908,0
56:21.6,0.91783285,0.147414772,0.329155905,0.59785444,0.6007712,-0.163068035,0.105557612,0.27318466,0.22878587,-0.0482938,0.295185695,0.36928558,0.15342183,-0.065984757,-0.151295707,0.33020517,-0.4783536,-0.548381313,-0.504431681,0.001159445,0
56:21.7,0.91783285,0.26702217,0.499508061,0.59785444,0.6007712,-0.108787464,0.209766428,0.27318466,0.22878587,0.021416737,0.362446223,0.36928558,0.15342183,-0.056168413,-0.1286556,0.33020517,-0.4783536,-0.572158502,-0.512124726,0.001159445,0
56:21.8,0.91783285,0.39145124,0.68466973,0.59785444,0.6007712,-0.06908512,0.31126922,0.27318466,0.22878587,0.04401584,0.3810945,0.36928558,0.15342183,-0.0424586,-0.10869116,0.33020517,-0.4783536,-0.5910216,-0.5302188,0.001159445,0
56:21.9,0.91783285,0.483130035,0.821251272,0.59785444,0.6007712,-0.050260389,0.389155893,0.27318466,0.22878587,0.037673932,0.381031854,0.36928558,0.15342183,-0.02730266,-0.095045456,0.33020517,-0.4783536,-0.603346917,-0.55386625,0.001159445,0
56:22.0,0.91783285,0.540884067,0.9097352,0.637065726,0.6007712,-0.043891205,0.441458641,0.279981194,0.22878587,0.029863239,0.38102913,0.362839849,0.15342183,-0.010035609,-0.087039589,0.335884796,-0.4783536,-0.60977,-0.578317629,-0.007096716,0
56:22.1,0.959112883,0.573871041,0.961209489,0.679373901,0.627669852,-0.044697769,0.471036368,0.297814042,0.207641016,0.020744584,0.38102913,0.353352367,0.166834634,0.007545815,-0.084027076,0.325585033,-0.481320457,-0.609517847,-0.600297326,-0.021481028,0
56:22.2,1.003229763,0.591997267,0.9862138,0.718347892,0.658458075,-0.049523084,0.483287287,0.319617552,0.152763889,0.016427888,0.38102913,0.347930358,0.179768288,0.020538773,-0.084554147,0.302087628,-0.475675018,-0.605295357,-0.616273533,-0.038184672,0
56:22.3,1.0406599,0.610155333,1.004389698,0.77382046,0.68570554,-0.062638955,0.485443375,0.3521993,0.088400245,0.013750378,0.38102913,0.3375771,0.18996891,0.031551364,-0.088167903,0.246490771,-0.46602252,-0.596251171,-0.63280625,-0.066570244,0
56:22.4,1.0406599,0.627036071,1.019120979,0.819875114,0.68570554,-0.08424605,0.476078121,0.370476198,0.088400245,0.010454641,0.38102913,0.316030216,0.18996891,0.02768204,-0.089745228,0.161604578,-0.46602252,-0.58869364,-0.642306009,-0.098341225,0
56:22.5,1.0406599,0.636966064,1.029932788,0.8327874,0.68570554,-0.100284043,0.468186785,0.37184304,0.088400245,0.005712585,0.381512003,0.3069456,0.18996891,0.013134505,-0.082852481,0.124522485,-0.46602252,-0.586980532,-0.646097343,-0.11021705,0
56:22.6,1.0406599,0.64154214,1.0355431,0.8327874,0.68570554,-0.107964635,0.4649139,0.37184304,0.088400245,0.001627381,0.38208267,0.3069456,0.18996891,0.001987678,-0.07568882,0.124522485,-0.46602252,-0.58710986,-0.647828,-0.11021705,0
56:22.7,1.0406599,0.645425324,1.04613974,0.8327874,0.68570554,-0.10891228,0.471961153,0.37184304,0.088400245,0.010703835,0.416783046,0.3069456,0.18996891,-0.016135071,-0.055680344,0.124522485,-0.46602252,-0.586529124,-0.650395767,-0.11021705,0
56:22.8,1.0406599,0.6469381,1.0578405,0.8327874,0.68570554,-0.10274882,0.48964188,0.37184304,0.088400245,0.025124617,0.46430027,0.3069456,0.18996891,-0.02968111,-0.033003904,0.124522485,-0.46602252,-0.58382815,-0.6501578,-0.11021705,0
56:22.9,1.0406599,0.647417253,1.065418382,0.8327874,0.68570554,-0.098727305,0.504745748,0.37184304,0.088400245,0.025124617,0.465238275,0.3069456,0.18996891,-0.033374402,-0.019976328,0.124522485,-0.46602252,-0.581667821,-0.644377376,-0.11021705,0
56:23.0,1.024102692,0.646841638,1.066496385,0.8327874,0.665175183,-0.09989709,0.506349777,0.37184304,0.10467085,0.025124617,0.467312593,0.3069456,0.201806331,-0.033511303,-0.018173758,0.124522485,-0.336325823,-0.581493648,-0.642132192,-0.11021705,0
56:23.1,0.947141635,0.640009923,1.064572615,0.8327874,0.567983598,-0.11604669,0.500630645,0.37184304,0.164917216,0.025124617,0.476753268,0.3069456,0.224249285,-0.03169149,-0.016949186,0.124522485,0.067058623,-0.581193848,-0.632662969,-0.11021705,0
56:23.2,0.9271129,0.617019771,1.041480671,0.8327874,0.5415271,-0.160544796,0.466176527,0.37184304,0.17044735,0.025124617,0.47925723,0.3069456,0.20859538,-0.025721598,-0.027870709,0.124522485,0.040435776,-0.579148666,-0.628096343,-0.11021705,0
56:23.3,0.9271129,0.6139261,1.0382359,0.8327874,0.5415271,-0.16621123,0.46164846,0.37184304,0.17044735,0.025124617,0.47925723,0.3069456,0.20859538,-0.024957646,-0.029373575,0.124522485,0.040435776,-0.57883376,-0.6278243,-0.11021705,0
56:23.4,0.9271129,0.576922115,0.999188005,0.8327874,0.5415271,-0.205665238,0.418661215,0.37184304,0.17044735,0.023818306,0.47925723,0.3069456,0.20859538,-0.01972959,-0.041907084,0.124522485,0.040435776,-0.576541769,-0.62839006,-0.11021705,0
56:23.5,0.879786139,0.533999699,0.940310757,0.733875571,0.500779361,-0.231126178,0.361155879,0.174000603,0.2121461,0.001292324,0.47925723,0.186786994,0.182990912,-0.016655049,-0.053976913,0.189980393,0.007030671,-0.575378901,-0.628990713,-0.023393636,0
56:23.6,0.824433039,0.503207333,0.8512652,0.658128228,0.455544994,-0.234207684,0.278671249,0.06166405,0.258350549,-0.053312131,0.47925723,0.130243998,0.157547689,-0.017607872,-0.064629825,0.19719685,-0.035570876,-0.576501934,-0.629599899,-0.015707392,0
56:23.7,0.776030163,0.530698452,0.733905973,0.6397409,0.419972434,-0.206188894,0.174244372,0.049813867,0.300122064,-0.080853157,0.47925723,0.13048215,0.143686907,-0.02636974,-0.07068676,0.18205781,-0.078647713,-0.58348549,-0.630223083,-0.036987796,0
56:23.8,0.730365992,0.658812223,0.602580069,0.6397409,0.385399938,-0.152015301,0.06371367,0.049813867,0.346207845,-0.079735791,0.47925723,0.13048215,0.139930316,-0.046730403,-0.06999254,0.18205781,-0.127131335,-0.604080075,-0.631251304,-0.036987796,0
56:23.9,0.7154023,0.7668453,0.5627553,0.6397409,0.36109015,-0.12581982,0.035744924,0.049813867,0.34711397,-0.07959381,0.47925723,0.13048215,0.14476371,-0.06079468,-0.06516629,0.18205781,-0.15503697,-0.62762696,-0.6326764,-0.036987796,0
56:24.0,0.717320635,0.777660877,0.539332618,0.6397409,0.337823545,-0.120152988,0.030829108,0.049813867,0.34711397,-0.07959381,0.47925723,0.13048215,0.1564857,-0.067561923,-0.062440111,0.18205781,-0.176752726,-0.645714442,-0.636269386,-0.036987796,0
56:24.1,0.723996108,0.789422333,0.507770785,0.6397409,0.315210546,-0.11789974,0.023880479,0.049813867,0.34711397,-0.07959381,0.47925723,0.13048215,0.173267193,-0.069585215,-0.067319561,0.18205781,-0.195125958,-0.658869632,-0.642676935,-0.036987796,0
56:24.2,0.729947561,0.802034635,0.476363188,0.6397409,0.293892102,-0.119187745,0.003389416,0.049813867,0.34711397,-0.081315361,0.47925723,0.13048215,0.189695219,-0.072181706,-0.084423626,0.18205781,-0.207972778,-0.665409718,-0.651756547,-0.036987796,0
56:24.3,0.7224303,0.816300525,0.443352385,0.6365373,0.248572055,-0.121713365,-0.038614737,0.059281948,0.344555915,-0.091008397,0.4786236,0.14352017,0.19984203,-0.08085425,-0.114147458,0.19270333,-0.244980335,-0.668188815,-0.661792335,-0.072016038,0
56:24.4,0.69037,0.83740835,0.40429935,0.5819987,0.163832197,-0.119449073,-0.112071485,0.070486552,0.33613415,-0.114414715,0.443444875,0.17296616,0.19902005,-0.099212935,-0.155051645,0.21917706,-0.30425613,-0.672401525,-0.671871815,-0.14116562,0
56:24.5,0.641414779,0.893918261,0.370954845,0.552542389,0.064969732,-0.11586264,-0.206179952,0.115178846,0.321509873,-0.143969938,0.309327429,0.229848543,0.190846243,-0.121295144,-0.192438479,0.25898987,-0.363543124,-0.677881109,-0.679417579,-0.161957013,0
56:24.6,0.590273388,0.976736104,0.364970475,0.609884704,-0.027479361,-0.100605323,-0.285583472,0.182969751,0.292331603,-0.151927524,0.068670214,0.281902922,0.188821226,-0.123865543,-0.213368904,0.291308637,-0.412791927,-0.675373435,-0.6804069,-0.150909723,0
56:24.7,0.578076598,1.019662332,0.388831072,0.651489518,-0.09232001,-0.078482781,-0.307666848,0.200222226,0.276015646,-0.15171105,-0.052003381,0.28524962,0.19103696,-0.1082137,-0.219802795,0.293525313,-0.421662819,-0.667772177,-0.67234315,-0.160209661,0
