,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,check
12:06.4,0.441230005,0.737561869,0.576297389,0.415369188,0.119196711,0.1806925,0.421289969,0.417126463,0.54673157,0.41849757,0.4353712,0.716007963,0.271580506,0.043926401,-0.090128792,0.345659631,-0.232437163,-0.380014715,-0.473617951,-0.208432359,0
12:06.5,0.511750431,0.742178649,0.601513363,0.557921006,0.217352013,0.201548928,0.395400384,0.491769386,0.606393567,0.448395465,0.4353712,0.739040492,0.27190066,0.027110728,-0.08876471,0.338872209,-0.225767774,-0.382969182,-0.477176052,-0.211232066,0
12:06.6,0.57189168,0.737012637,0.610336875,0.659622358,0.291165634,0.231452267,0.371852556,0.54973725,0.640114635,0.464389777,0.4353712,0.744810895,0.272337474,0.01031944,-0.085243509,0.324205057,-0.224375303,-0.391734642,-0.476858028,-0.214276495,0
12:06.7,0.61058995,0.717543863,0.59227945,0.718485963,0.331196825,0.266188584,0.357285851,0.58192615,0.64918584,0.47142074,0.4353712,0.747199744,0.269170601,-0.007024338,-0.078625938,0.300661439,-0.227265289,-0.408769194,-0.470885641,-0.217278211,0
12:06.8,0.628032387,0.688629692,0.550911829,0.746966767,0.344838858,0.298931947,0.349858059,0.596767883,0.64918584,0.47142074,0.436229604,0.7485857,0.260446805,-0.025897128,-0.070744641,0.27227449,-0.231683748,-0.435856045,-0.460650555,-0.217822142,0
12:06.9,0.632516267,0.652239333,0.51087016,0.764513958,0.346862808,0.32096291,0.329201583,0.611866825,0.64918584,0.47142074,0.438868658,0.7485857,0.248192582,-0.047244658,-0.068211208,0.244506965,-0.234020493,-0.473143641,-0.453928544,-0.215057507,0
12:07.0,0.631990168,0.605676763,0.483759531,0.78436744,0.349101623,0.325413545,0.2880895,0.6294668,0.64918584,0.47142074,0.4403026,0.7485857,0.236872839,-0.071044641,-0.071448461,0.211073645,-0.232934721,-0.517334286,-0.455056633,-0.218754064,0
12:07.1,0.629737893,0.550578101,0.468981522,0.808451058,0.353275725,0.309803898,0.223882522,0.651033282,0.64918584,0.47142074,0.432094888,0.7485857,0.228290542,-0.096360475,-0.076422155,0.176835665,-0.23175603,-0.561420682,-0.46491641,-0.230460763,0
12:07.2,0.6287846,0.49843022,0.46162295,0.8380971,0.35662097,0.2795883,0.13957399,0.67845577,0.64918584,0.47142074,0.35160932,0.7485857,0.2205688,-0.12276391,-0.07793982,0.14697096,-0.2352005,-0.59858596,-0.47993404,-0.24921274,0
12:07.3,0.630415635,0.460673401,0.455757385,0.836256142,0.356218633,0.252054233,0.056685787,0.673294982,0.64918584,0.466364822,0.189822825,0.756916932,0.212305389,-0.148031288,-0.074751273,0.140343826,-0.244334528,-0.622764653,-0.494427576,-0.247932617,0
12:07.4,0.633938065,0.445985799,0.477334761,0.837290175,0.35315805,0.24492447,-0.013931136,0.664668616,0.64918584,0.452409342,0.142440292,0.763569272,0.200035222,-0.180318124,-0.071462572,0.170872063,-0.258480132,-0.636594002,-0.513846704,-0.240677498,0
12:07.5,0.639875293,0.456879501,0.526288824,0.840558199,0.355218408,0.26567531,-0.013992222,0.656627112,0.64918584,0.450538958,0.287368436,0.760917124,0.190233429,-0.200994706,-0.067078922,0.201151277,-0.266762849,-0.637183831,-0.529040141,-0.236495246,0
12:07.6,0.65235656,0.48864457,0.6027028,0.84465796,0.36454308,0.30802372,0.049948294,0.6476085,0.64918584,0.4520583,0.5028,0.7380608,0.18106769,-0.21425213,-0.058102302,0.22364499,-0.2710567,-0.6309509,-0.5412237,-0.23559463,0
12:07.7,0.677183563,0.561308161,0.716505982,0.842559892,0.385293039,0.373348155,0.170542855,0.632396294,0.64918584,0.454454109,0.641740994,0.698989824,0.171660908,-0.220915615,-0.038504768,0.234739643,-0.271547235,-0.621180076,-0.546054362,-0.235495471,0
12:07.8,0.699322837,0.639033939,0.814881198,0.828467199,0.402417797,0.428902191,0.270291436,0.60535284,0.64918584,0.456118147,0.686143113,0.690596568,0.165298337,-0.223034733,-0.016789824,0.236128479,-0.270497557,-0.613401279,-0.541066957,-0.231527569,0
12:07.9,0.701358153,0.75513519,0.942851626,0.735804523,0.392957255,0.491434331,0.389481485,0.485020939,0.64403357,0.451804123,0.697535813,0.680758657,0.155638122,-0.22366504,0.01707648,0.22949214,-0.272769745,-0.597457516,-0.523251306,-0.214495034,0
12:08.0,0.673547758,0.791057939,0.977644372,0.637147441,0.356381648,0.499677923,0.420922513,0.36692015,0.62705654,0.434994381,0.69774873,0.658263332,0.149463209,-0.223540533,0.028243343,0.225952509,-0.27773011,-0.586126583,-0.516098844,-0.202056816,0
12:08.1,0.62324744,0.8063892,0.993748,0.46653885,0.28934246,0.48948172,0.44265893,0.16810736,0.6012128,0.3994168,0.70101273,0.5636769,0.14125066,-0.22233953,0.034191202,0.22556336,-0.28286037,-0.5721557,-0.5161778,-0.1891092,0
12:08.2,0.581580675,0.807179962,1.002911067,0.26387155,0.230761045,0.470546329,0.46400609,-0.06144893,0.54041081,0.339200598,0.701457258,0.437736784,0.135068386,-0.218878789,0.037758197,0.229366635,-0.28078738,-0.560626771,-0.523196454,-0.18055473,0
12:08.3,0.564337791,0.804507359,1.010592464,0.09995549,0.205255619,0.452832455,0.481371312,-0.210408898,0.511196486,0.327362177,0.702461602,0.338390185,0.133311336,-0.214387993,0.042175378,0.234085071,-0.271705281,-0.550973723,-0.531916583,-0.176617033,0
12:08.4,0.557234324,0.800520328,1.020215333,0.026949572,0.198738346,0.431612362,0.500605999,-0.240868107,0.522135456,0.326145827,0.70290846,0.339465109,0.135094202,-0.207031151,0.051266088,0.229056722,-0.254328508,-0.536811015,-0.543703631,-0.184541577,0
12:08.5,0.562983858,0.800158942,1.037581475,0.009151023,0.215410514,0.41567883,0.524081468,-0.195097464,0.564690521,0.33261599,0.701946523,0.420034535,0.141413242,-0.19350301,0.071317899,0.215503113,-0.229657174,-0.512143668,-0.555708679,-0.196365434,0
12:08.6,0.580909971,0.810009265,1.064357827,-0.003432516,0.236287798,0.418842129,0.551150762,-0.174200038,0.568149412,0.342376627,0.700198454,0.438087722,0.147037898,-0.175746261,0.093454244,0.204591859,-0.213414902,-0.485359844,-0.561137462,-0.197480588,0
12:08.7,0.614239627,0.829416436,1.10374935,-0.014115186,0.258802943,0.432548484,0.588168555,-0.167759176,0.5684131,0.349094657,0.697263961,0.4400885,0.151896491,-0.15022143,0.119439963,0.19307681,-0.198779706,-0.451548639,-0.56599318,-0.195793269,0
12:08.8,0.651021535,0.852366263,1.143052976,-0.012627423,0.275023262,0.450119012,0.622113191,-0.163827571,0.5684131,0.351334146,0.699669601,0.439944706,0.152553914,-0.123408456,0.142113907,0.178503254,-0.186656484,-0.419353671,-0.571487904,-0.203672149,0
12:08.9,0.68913996,0.879081561,1.179749429,-0.005805325,0.283202571,0.468024514,0.648803451,-0.168216849,0.565261671,0.3516905,0.7004043,0.43020578,0.144944474,-0.092308496,0.165629601,0.142048651,-0.172193156,-0.385774666,-0.578830864,-0.222781684,0
12:09.0,0.69566536,0.88658464,1.184816,-0.003499609,0.2800262,0.46772,0.64732283,-0.17294292,0.5573831,0.3516905,0.7004043,0.41772148,0.13857111,-0.08319535,0.17100923,0.12033538,-0.16723892,-0.37756613,-0.5818809,-0.23237982,0
12:09.1,0.68166673,0.88184726,1.1690955,0.000576654,0.26303992,0.44192752,0.61733335,-0.1738995,0.54716825,0.34909874,0.7004043,0.39472082,0.12953137,-0.07832229,0.16620733,0.09536183,-0.16511765,-0.3740259,-0.58971995,-0.24374281,0
12:09.2,0.669119069,0.871530635,1.15451805,0.003142392,0.250440606,0.420732025,0.595862744,-0.168334388,0.549665281,0.341318323,0.694646486,0.395200044,0.126742038,-0.077800781,0.159669209,0.091785181,-0.166154465,-0.372983711,-0.596424556,-0.247711199,0
