,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,check
39:38.1,1.7449824,0.88274455,1.074445639,1.1034402,1.3291614,0.25946587,0.479482015,1.2760239,1.3388158,0.07550788,0.49491903,0.602868795,0.95861626,-0.11183465,-0.068646411,0.781896,-0.013614354,-0.5545948,-0.723221456,0.05601191,0
39:38.2,1.7449824,0.88274455,1.137063117,1.1034402,1.3291614,0.25946587,0.443388452,1.2760239,1.3388158,0.07550788,0.49491903,0.602868795,0.95861626,-0.11183465,-0.061246269,0.781896,-0.013614354,-0.5545948,-0.700381703,0.05601191,0
39:38.3,1.7449824,0.82848246,1.1395241,1.275330214,1.3291614,-0.518980355,0.4421832,0.865465767,1.3388158,-0.161543219,0.49491903,0.602868795,0.95861626,-0.241565328,-0.060715355,0.283530066,-0.013614354,-0.624229428,-0.6993761,-0.117380636,0
39:38.4,1.7449824,0.9228177,1.1395241,1.2725303,1.3291614,-0.48458597,0.4421832,0.8100645,1.3388158,-0.015130233,0.49491903,0.53189903,0.95861626,-0.25801498,-0.060715355,0.22440393,-0.013614354,-0.6363077,-0.6993761,-0.12451202,0
39:38.5,1.7449824,0.988720233,1.1395241,1.235183503,1.3291614,-0.353477313,0.4421832,0.770141142,1.3388158,0.138766691,0.49491903,0.556222977,0.95861626,-0.253131429,-0.060715355,0.222600712,-0.013614354,-0.643426994,-0.6993761,-0.118163309,0
39:38.6,1.7449824,1.049007388,1.1395241,1.1936346,1.3291614,-0.21073142,0.4421832,0.72285014,1.3388158,0.238629663,0.49491903,0.58933425,0.95861626,-0.235614188,-0.060715355,0.23250984,-0.013614354,-0.649381138,-0.6993761,-0.11302987,0
39:38.7,1.7449824,1.089644333,1.143657014,1.1936346,1.3291614,-0.126194762,0.436230519,0.72285014,1.3388158,0.24882999,0.486810096,0.58933425,0.95861626,-0.21348279,-0.072994302,0.23250984,-0.013614354,-0.641226909,-0.702045739,-0.11302987,0
39:38.8,1.7449824,1.107121,1.16505525,1.18660755,1.3291614,-0.100594334,0.406554897,0.716823313,1.3388158,0.24882999,0.44849178,0.58933425,0.95861626,-0.20654713,-0.115579528,0.24176355,-0.013614354,-0.63239443,-0.711740085,-0.102987314,0
39:38.9,1.7449824,1.107121,1.192857392,1.172354567,1.3291614,-0.100594334,0.361051228,0.702744383,1.3388158,0.24882999,0.379505534,0.58933425,0.95861626,-0.20654713,-0.146499169,0.261878835,-0.013614354,-0.63239443,-0.718676685,-0.0789179,0
39:39.0,1.7449824,1.107121,1.207419783,1.167206396,1.3291614,-0.100594334,0.301678295,0.690137729,1.3388158,0.24882999,0.281941972,0.58959646,0.95861626,-0.20654713,-0.159797657,0.276160856,-0.013614354,-0.63239443,-0.715553056,-0.057529007,0
