,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,check
50:26.4,0.6425184,-0.003432544,0.370680586,0.06752191,0.09154422,-0.012577109,0.072213401,-0.23994976,0.16214547,0.33264756,0.357432274,0.016055617,0.009820223,-0.203161725,-0.01251666,0.07460857,-0.5837932,-0.516696536,-0.503662266,-0.087287284,0
50:26.5,0.6425184,-0.072032573,0.388035511,0.06752191,0.09154422,0.047703948,0.06252073,-0.23994976,0.16214547,0.339804876,0.354345656,0.016055617,0.009820223,-0.168528209,-0.018513108,0.07460857,-0.5837932,-0.517877998,-0.505198612,-0.087287284,0
50:26.6,0.6425184,-0.094178412,0.396747454,0.06752191,0.09154422,0.077203801,0.057610888,-0.23994976,0.16214547,0.340982539,0.35386655,0.016055617,0.009820223,-0.156600848,-0.025932631,0.07460857,-0.5837932,-0.515857256,-0.51387024,-0.087287284,0
50:26.7,0.6425184,-0.104535132,0.403007456,0.06752191,0.09154422,0.094850895,0.055027341,-0.23994976,0.16214547,0.34109166,0.35386655,0.016055617,0.009820223,-0.15398737,-0.034111008,0.07460857,-0.5837932,-0.513470784,-0.527829773,-0.087287284,0
50:26.8,0.6425184,-0.104945121,0.411005973,0.06752191,0.09154422,0.103103054,0.053106654,-0.23994976,0.16214547,0.34109166,0.35386655,0.016055617,0.009820223,-0.155520216,-0.041974084,0.07460857,-0.5837932,-0.512555813,-0.544536935,-0.087287284,0
50:26.9,0.6425184,-0.087567906,0.429211822,0.06752191,0.09154422,0.109843469,0.055334965,-0.23994976,0.16214547,0.34109166,0.35386655,0.016055617,0.009820223,-0.151088272,-0.049380614,0.07460857,-0.5837932,-0.512632204,-0.56047145,-0.087287284,0
50:27.0,0.6425184,-0.046253965,0.463606953,0.06752191,0.09154422,0.12360809,0.072748127,-0.23994976,0.16214547,0.343005527,0.3569705,0.016055617,0.009820223,-0.133270967,-0.054912071,0.07460857,-0.5837932,-0.51067374,-0.568967467,-0.087287284,0
50:27.1,0.6425184,0.020670205,0.519699933,0.06752191,0.09154422,0.150255939,0.114206425,-0.23994976,0.16214547,0.351921366,0.375548892,0.016055617,0.009820223,-0.102427085,-0.059978375,0.07460857,-0.5837932,-0.503656369,-0.570997812,-0.087287284,0
50:27.2,0.6425184,0.109754803,0.59714526,0.06752191,0.09154422,0.19402765,0.184788356,-0.23994976,0.16214547,0.376126514,0.428983138,0.016055617,0.009820223,-0.06274199,-0.067262438,0.07460857,-0.5837932,-0.487776433,-0.568702425,-0.087287284,0
50:27.3,0.6425184,0.207263244,0.68180621,0.06752191,0.09154422,0.252559914,0.268325949,-0.23994976,0.16214547,0.405242148,0.462437192,0.016055617,0.009820223,-0.026663117,-0.083658945,0.07460857,-0.5837932,-0.461844503,-0.568803527,-0.087287284,0
50:27.4,0.6425184,0.25420034,0.7188134,0.06752191,0.09154422,0.2846306,0.30640557,-0.23994976,0.16214547,0.41304407,0.46181145,0.016055617,0.009820223,-0.013705329,-0.09681643,0.07460857,-0.5837932,-0.44723585,-0.5720483,-0.087287284,0
50:27.5,0.6425184,0.291186439,0.737397429,0.06752191,0.09154422,0.314834871,0.326612565,-0.23994976,0.16214547,0.406203611,0.46168404,0.016055617,0.009820223,-0.01134349,-0.116930639,0.07460857,-0.5837932,-0.438738835,-0.581921577,-0.087287284,0
50:27.6,0.6425184,0.307676871,0.732245735,0.06752191,0.09154422,0.329730375,0.323045623,-0.23994976,0.16214547,0.389758425,0.436056278,0.016055617,0.009820223,-0.017972758,-0.132094069,0.07460857,-0.5837932,-0.444178656,-0.592597975,-0.087287284,0
50:27.7,0.6425184,0.318029334,0.718474785,0.06752191,0.09154422,0.334750647,0.311223073,-0.23994976,0.16214547,0.385870024,0.400004815,0.016055617,0.009820223,-0.029205355,-0.141879962,0.07460857,-0.5837932,-0.456009985,-0.6013379,-0.087287284,0
50:27.8,0.6425184,0.331904772,0.706413428,0.06752191,0.09154422,0.333593346,0.301156992,-0.23994976,0.16214547,0.384933733,0.378424901,0.016055617,0.009820223,-0.044113366,-0.148311897,0.07460857,-0.5837932,-0.465104788,-0.607190381,-0.087287284,0
50:27.9,0.6425184,0.350913792,0.69847604,0.06752191,0.09154422,0.328322857,0.298394788,-0.23994976,0.16214547,0.373394755,0.364513692,0.016055617,0.009820223,-0.062834112,-0.152516753,0.07460857,-0.5837932,-0.4653324,-0.609910988,-0.087287284,0
50:28.0,0.6425184,0.374823037,0.696918038,0.06752191,0.09154422,0.320366439,0.30704088,-0.23994976,0.16214547,0.341450315,0.357749285,0.016055617,0.009820223,-0.084625375,-0.153090568,0.07460857,-0.5837932,-0.457320453,-0.608264863,-0.087287284,0
50:28.1,0.6425184,0.403592163,0.701313839,0.06752191,0.09154422,0.311411719,0.328784649,-0.23994976,0.16214547,0.30594506,0.35635883,0.016055617,0.009820223,-0.107784912,-0.148390983,0.07460857,-0.5837932,-0.445834308,-0.601407761,-0.087287284,0
