,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,check
23:32.8,1.234339788,-0.076684094,0.516596714,1.138615198,0.902536114,0.101509428,0.199605521,0.900974628,0.966949758,0.173459756,0.159475482,0.815584169,0.413637433,-0.283690497,-0.12176335,0.594977443,-0.079778778,-0.453702095,-0.431057564,0.155183792,1
23:32.9,1.298655261,-0.0488874,0.510066406,1.221171914,0.922138254,0.148329037,0.112195473,0.953000174,0.946565894,0.174241194,0.160013221,0.769389306,0.373393276,-0.282907233,-0.059815215,0.584281153,-0.111331825,-0.452868444,-0.433928316,0.152621172,1
23:33.0,1.319486438,-0.046576943,0.509211321,1.243927375,0.927480638,0.167523418,0.07427987,0.971924731,0.9463342,0.173388631,0.159865598,0.77768793,0.357678876,-0.27682887,-0.039602855,0.586041438,-0.124249004,-0.454431043,-0.4292057,0.144791166,1
23:33.1,1.316585954,-0.051037933,0.493946403,1.23822125,0.925081077,0.172534178,0.048331221,0.978029853,0.9463342,0.20752546,0.157461757,0.784941901,0.348551653,-0.264478613,-0.034559324,0.584381096,-0.138212907,-0.459465621,-0.42239198,0.129834988,1
23:33.2,1.320068212,-0.053691003,0.453365677,1.209691408,0.935354604,0.163371153,0.001558947,0.959376229,0.9463342,0.222231553,0.139645863,0.7955923,0.355713487,-0.240524859,-0.031792235,0.562559006,-0.146901152,-0.469868117,-0.410787427,0.104448911,1
23:33.3,1.321361,-0.05596907,0.40172336,1.1816441,0.9395512,0.14111872,-0.065501235,0.9423102,0.9463342,0.24172688,0.104006946,0.7955923,0.36295316,-0.21030283,-0.023959527,0.54520416,-0.1536817,-0.48560104,-0.3919931,0.08120728,1
23:33.4,1.327007988,-0.045416214,0.373969935,1.1816441,0.938666838,0.119029511,-0.124392309,0.9423102,0.9463342,0.247319775,0.048304234,0.7955923,0.362288501,-0.182431858,-0.019135892,0.54520416,-0.152688566,-0.505299792,-0.3811088,0.08120728,1
23:33.5,1.336915575,-0.015713444,0.337760083,1.187794856,0.933292383,0.111361058,-0.201402274,0.948905467,0.941214339,0.24811876,-0.021828995,0.779953589,0.342784831,-0.155357539,-0.00928483,0.523549364,-0.146670254,-0.533128844,-0.367739999,0.084474457,1
23:33.6,1.342082,0.04009683,0.29897082,1.1914577,0.92610276,0.12553738,-0.26520532,0.9520696,0.9137508,0.24811876,-0.061858963,0.7446115,0.3109412,-0.14103599,0.002339046,0.4890223,-0.14338224,-0.55699664,-0.35758874,0.078043275,1
23:33.7,1.341534073,0.12872427,0.259766471,1.190794355,0.920464316,0.149399307,-0.310585633,0.951806327,0.848073396,0.24811876,-0.061858963,0.724107718,0.282197084,-0.14134087,0.013407984,0.451482227,-0.149503731,-0.572555811,-0.35434202,0.055996628,1
23:33.8,1.346441933,0.293112467,0.202878164,1.194696248,0.914963381,0.187734956,-0.38889813,0.951864119,0.660066379,0.24811876,-0.064039479,0.684408152,0.247691688,-0.150548793,0.034907553,0.383428987,-0.176098392,-0.59652387,-0.355771259,-0.001209961,1
23:33.9,1.368830088,0.423144038,0.187685725,1.21063265,0.916932028,0.216751058,-0.456301843,0.952902114,0.576364731,0.24811876,-0.087313504,0.665492479,0.246436277,-0.160743645,0.055330173,0.328532751,-0.221420742,-0.610363356,-0.363648996,-0.06703511,1
23:34.0,1.398998253,0.517011237,0.203120158,1.219927608,0.909346044,0.256825093,-0.396099393,0.938914878,0.558772104,0.248585926,-0.119887447,0.660825602,0.262382985,-0.149000177,0.065270733,0.292101621,-0.282765721,-0.606153086,-0.373161623,-0.134005359,1
23:34.1,1.4108046,0.56638885,0.21535683,1.2073318,0.8859026,0.29681996,-0.335896943,0.9113115,0.549019,0.25052133,-0.1386064,0.65492904,0.27206886,-0.12114183,0.059189014,0.27947712,-0.3262414,-0.59236133,-0.37919316,-0.17679404,1
23:34.2,1.390112617,0.598249579,0.207688725,1.143420742,0.826217539,0.344198087,-0.275694494,0.851630078,0.526285538,0.279337284,-0.156467486,0.619530402,0.264943069,-0.070472614,0.026088849,0.277227318,-0.346565647,-0.571074453,-0.383685058,-0.211621003,1
23:34.3,1.385118,0.642150267,0.158953487,1.00094851,0.8118108,0.399559268,-0.215492044,0.7559523,0.52079815,0.324839133,-0.175476882,0.564555692,0.26322305,-0.002032168,-0.032756948,0.264939791,-0.3514715,-0.542571642,-0.388014142,-0.263774787,1
23:34.4,1.385118,0.6919629,0.054384835,0.80204934,0.8118108,0.43958774,-0.155289594,0.6805553,0.52079815,0.37514848,-0.22572134,0.5239743,0.26322305,0.04828995,-0.07780193,0.23433349,-0.3514715,-0.5144942,-0.38734534,-0.32482684,1
23:34.5,1.385118,0.762419279,0.054384835,0.80204934,0.8118108,0.497044577,-0.095087144,0.6805553,0.52079815,0.436810809,-0.22572134,0.5239743,0.26322305,0.088590617,-0.07780193,0.23433349,-0.3514715,-0.47943461,-0.38734534,-0.32482684,1
