,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,check
35:59.3,1.0195627,0.332324849,1.020933784,0.82331926,0.7417259,0.053733555,0.772839414,0.42010882,0.6064675,0.158273012,0.73837763,0.55506295,0.5728178,-0.273374252,-0.125410332,0.36820564,0.19153099,-0.38102406,-0.401773109,-0.026883584,1
35:59.4,1.0195627,0.31837755,0.917996869,0.82331926,0.7417259,0.026172178,0.650403019,0.42010882,0.6064675,0.161526686,0.737701268,0.55506295,0.5728178,-0.315410071,-0.165921786,0.36820564,0.19153099,-0.357282825,-0.405922054,-0.026883584,1
35:59.5,1.0195627,0.284911919,0.754017262,0.82331926,0.7417259,0.018272432,0.482139147,0.42010882,0.6064675,0.16425385,0.548257277,0.55506295,0.5728178,-0.334588125,-0.186905726,0.36820564,0.19153099,-0.352386608,-0.406514661,-0.026883584,1
35:59.6,1.0195627,0.224906468,0.668920604,0.82331926,0.7417259,0.011366754,0.390323972,0.42010882,0.6064675,0.16767336,0.394692897,0.55506295,0.5728178,-0.345087633,-0.191406179,0.36820564,0.19153099,-0.355627062,-0.407427397,-0.026883584,1
35:59.7,1.0195627,0.152028276,0.688126776,0.82331926,0.7417259,0.006586359,0.402482849,0.42010882,0.6064675,0.171473531,0.40037489,0.55506295,0.5728178,-0.337312419,-0.184312614,0.36820564,0.19153099,-0.369011551,-0.414370437,-0.026883584,1
35:59.8,1.0195627,0.111216577,0.676078894,0.82331926,0.7417259,0.005061796,0.390390535,0.42010882,0.6064675,0.174119535,0.40067056,0.55506295,0.5728178,-0.323856536,-0.185758017,0.36820564,0.19153099,-0.383276652,-0.425495631,-0.026883584,1
35:59.9,1.0195627,0.08776383,0.658085106,0.82331926,0.7417259,0.004218514,0.372063542,0.42010882,0.6064675,0.177042989,0.40067056,0.55506295,0.5728178,-0.314238641,-0.189204949,0.36820564,0.19153099,-0.396418391,-0.436405851,-0.026883584,1
36:00.0,1.0195627,0.066079312,0.630245343,0.82331926,0.7417259,0.001490398,0.342788931,0.42010882,0.6064675,0.178910055,0.40067056,0.55506295,0.5728178,-0.30803204,-0.193010172,0.36820564,0.19153099,-0.414937126,-0.452088461,-0.026883584,1
36:00.1,1.0195627,0.05551184,0.6198709,0.82331926,0.7417259,-0.007380107,0.33170512,0.42010882,0.6064675,0.18162656,0.40067056,0.55506295,0.5728178,-0.31540796,-0.1939649,0.36820564,0.19153099,-0.4347507,-0.45792747,-0.026883584,1
36:00.2,1.0195627,0.117692489,0.6198709,0.82331926,0.7417259,-0.021168443,0.33170512,0.42010882,0.6064675,0.210721365,0.40067056,0.55506295,0.5728178,-0.333049447,-0.1939649,0.36820564,0.19153099,-0.440459368,-0.45792747,-0.026883584,1
36:00.3,1.0195627,0.244261173,0.602178874,0.82331926,0.7417259,-0.026134563,0.309951139,0.42010882,0.6064675,0.254261276,0.37848849,0.55506295,0.5728178,-0.333833154,-0.200592554,0.36820564,0.19153099,-0.439452095,-0.457474107,-0.026883584,1
36:00.4,1.0195627,0.522636713,0.588584493,0.82331926,0.7417259,-0.00290141,0.280494329,0.42010882,0.6064675,0.331106088,0.313765704,0.55506295,0.5728178,-0.33461686,-0.20826089,0.36820564,0.19153099,-0.434797451,-0.46153679,-0.026883584,1
36:00.5,1.0195627,0.59043395,0.595058774,0.82331926,0.7417259,0.004803013,0.27308195,0.42010882,0.6064675,0.325755808,0.264587063,0.55506295,0.5728178,-0.335400567,-0.208500073,0.36820564,0.19153099,-0.435284297,-0.466360118,-0.026883584,1
36:00.6,1.0195627,0.607104075,0.609819349,0.82331926,0.7417259,0.00733099,0.271311655,0.42010882,0.6064675,0.293417868,0.204563565,0.55506295,0.5728178,-0.336184273,-0.205984113,0.36820564,0.19153099,-0.438593206,-0.472527924,-0.026883584,1
36:00.7,1.0195627,0.629838861,0.640957578,0.82331926,0.7417259,0.01635898,0.285677887,0.42010882,0.6064675,0.265218393,0.115386791,0.55506295,0.5728178,-0.33696798,-0.195835653,0.36820564,0.19153099,-0.44826142,-0.48034653,-0.026883584,1
36:00.8,1.0195627,0.660320264,0.673222498,0.82331926,0.7417259,0.034208876,0.31400084,0.42010882,0.6064675,0.25826988,0.043566362,0.55506295,0.5728178,-0.337751686,-0.180464672,0.36820564,0.19153099,-0.462307355,-0.490497805,-0.026883584,1
