,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,check
07:11.9,-0.147633139,0.097981976,-0.197456984,0.55193245,0.019613981,-0.114155717,-0.119615089,-0.08674476,0.32895523,0.069393071,-0.04454207,-0.24390973,0.5912778,-0.039554795,0.009735125,0.3559068,-0.030542888,-0.391918633,-0.548818111,-0.37423515,1
07:12.0,-0.147633139,0.134206368,-0.262313827,0.55193245,0.019613981,-0.091283096,-0.127881339,-0.08674476,0.32895523,0.052926129,-0.054516031,-0.24390973,0.5912778,-0.04314215,0.000234658,0.3559068,-0.030542888,-0.399737853,-0.565228588,-0.37423515,1
07:12.1,-0.147633139,0.20396048,-0.2525767,0.55193245,0.019613981,-0.032463733,-0.12827255,-0.08674476,0.32895523,0.0450126,-0.066856384,-0.24390973,0.5912778,-0.040473823,-0.00631243,0.3559068,-0.030542888,-0.41146976,-0.5744168,-0.37423515,1
07:12.2,-0.147633139,0.275982223,-0.230993924,0.55193245,0.019613981,0.019336058,-0.113679774,-0.08674476,0.32895523,0.039024327,-0.05924818,-0.24390973,0.5912778,-0.034745567,-0.019067981,0.3559068,-0.030542888,-0.42656544,-0.570137538,-0.37423515,1
07:12.3,-0.147633139,0.333850455,-0.217512992,0.55193245,0.019613981,0.040452963,-0.09845226,-0.08674476,0.32895523,0.032728002,-0.007280437,-0.24390973,0.5912778,-0.027314064,-0.032390616,0.3559068,-0.030542888,-0.431549904,-0.555569529,-0.37423515,1
07:12.4,-0.147633139,0.392423199,-0.212214738,0.55193245,0.019613981,0.049693017,-0.095331143,-0.08674476,0.32895523,0.033030666,-0.008368276,-0.24390973,0.5912778,-0.020528114,-0.043550984,0.3559068,-0.030542888,-0.432149876,-0.545546533,-0.37423515,1
07:12.5,-0.147633139,0.41676491,-0.20481233,0.55193245,0.014549895,0.055459904,-0.089490721,-0.08674476,0.322509001,0.033030666,-0.014268275,-0.226484668,0.586554,-0.016214186,-0.062445148,0.358535594,-0.03304216,-0.443587531,-0.537323615,-0.37164766,1
07:12.6,-0.147633139,0.439386356,-0.192197043,0.55193245,-0.02089871,0.055510716,-0.080657166,-0.08674476,0.2773854,0.033005315,-0.031664793,-0.209059605,0.5534874,-0.015421389,-0.090113498,0.37693715,-0.05053706,-0.449984685,-0.534513463,-0.35353523,1
07:12.7,-0.147633139,0.4596281,-0.17383116,0.55193245,-0.02089871,0.055874106,-0.070248894,-0.08674476,0.2773854,0.032422237,-0.045314927,-0.191634543,0.5534874,-0.0197001,-0.12699465,0.37693715,-0.05053706,-0.45046896,-0.5411297,-0.35353523,1
07:12.8,-0.147633139,0.475788437,-0.153436658,0.55193245,-0.02089871,0.065759333,-0.062693863,-0.08674476,0.2773854,0.027492758,-0.058281445,-0.17420948,0.5534874,-0.026866061,-0.166759494,0.37693715,-0.05053706,-0.443946678,-0.557765792,-0.35353523,1
07:12.9,-0.147633139,0.489137671,-0.133455121,0.55193245,-0.02089871,0.087082554,-0.057785135,-0.08674476,0.2773854,0.027278433,-0.075645407,-0.156784418,0.5534874,-0.033311187,-0.201777128,0.37693715,-0.05053706,-0.432070601,-0.5784699,-0.35353523,1
07:13.0,-0.147633139,0.510575476,-0.105581507,0.55193245,-0.02089871,0.125282407,-0.047913247,-0.08674476,0.2773854,0.027278433,-0.102125571,-0.139359355,0.5534874,-0.041040062,-0.2350468,0.37693715,-0.05053706,-0.415262614,-0.603657431,-0.35353523,1
07:13.1,-0.147633139,0.54163365,-0.074487566,0.55193245,-0.02089871,0.171112895,-0.027983847,-0.08674476,0.2773854,0.027278433,-0.126643735,-0.121934293,0.5534874,-0.050816469,-0.255233465,0.37693715,-0.05053706,-0.399866989,-0.628904831,-0.35353523,1
07:13.2,-0.147633139,0.578273521,-0.050402344,0.55193245,-0.02089871,0.212727337,0.00037143,-0.08674476,0.2773854,0.026392376,-0.14041151,-0.10450923,0.5534874,-0.06068602,-0.258306237,0.37693715,-0.05053706,-0.388158592,-0.650711085,-0.35353523,1
07:13.3,-0.147633139,0.6210218,-0.037808552,0.55193245,-0.02089871,0.25097534,0.039110325,-0.08674476,0.2773854,0.00601306,-0.14041151,-0.087084168,0.5534874,-0.06693605,-0.2520228,0.37693715,-0.05053706,-0.37310722,-0.6683483,-0.35353523,1
