,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,check
00:58.6,0.7963577,0.916046933,0.919555606,0.5635953,0.6070823,0.386928264,0.5606935,0.24154103,0.60808975,0.538778459,0.611562293,0.6185786,0.4712396,-0.259868858,0.057874616,0.6797456,0.014422851,-0.305817633,-0.280204138,0.06439867,1
00:58.7,0.7963577,1.0494533,1.1109855,0.5635953,0.6070823,0.65297276,0.857824375,0.24154103,0.60808975,0.9660269,0.966402882,0.6185786,0.4712396,-0.1943867,0.082614692,0.6797456,0.014422851,-0.30670628,-0.284448573,0.06439867,1
00:58.8,0.7963577,1.0494533,1.260973225,0.5635953,0.6070823,0.65297276,1.02374335,0.24154103,0.60808975,0.9660269,0.989758693,0.6185786,0.4712396,-0.1943867,0.091963695,0.6797456,0.014422851,-0.30670628,-0.297892104,0.06439867,1
00:58.9,0.7963577,1.0494533,1.3612274,0.5635953,0.6070823,0.65297276,1.1094888,0.24154103,0.60808975,0.9660269,0.99029666,0.6185786,0.4712396,-0.1943867,0.08589879,0.6797456,0.014422851,-0.30670628,-0.31606784,0.06439867,1
00:59.0,0.7963577,1.047675028,1.3612274,0.5635953,0.6070823,0.663344868,1.1094888,0.24154103,0.60808975,0.964496403,0.99029666,0.6185786,0.4712396,-0.190633042,0.08589879,0.6797456,0.014422851,-0.305561932,-0.31606784,0.06439867,1
00:59.1,0.7963577,1.0436335,1.3612274,0.5635953,0.6070823,0.68691784,1.1094888,0.24154103,0.60808975,0.961018,0.99029666,0.6185786,0.4712396,-0.182102,0.08589879,0.6797456,0.014422851,-0.30296114,-0.31606784,0.06439867,1
00:59.2,0.7963577,1.048261342,1.3612274,0.5635953,0.6070823,0.735912288,1.1094888,0.24154103,0.60808975,0.958088392,0.99029666,0.6185786,0.4712396,-0.161743597,0.08589879,0.6797456,0.014422851,-0.313654079,-0.31606784,0.06439867,1
00:59.3,0.7963577,1.0602683,1.3612274,0.5635953,0.6070823,0.7702159,1.1094888,0.24154103,0.60808975,0.9575619,0.99029666,0.6185786,0.4712396,-0.14263964,0.08589879,0.6797456,0.014422851,-0.32810417,-0.31606784,0.06439867,1
00:59.4,0.7963577,1.085379871,1.362248444,0.5635953,0.6070823,0.807745779,1.110731344,0.24154103,0.60808975,0.9575619,0.99020812,0.6185786,0.4712396,-0.112830514,0.085907671,0.6797456,0.014422851,-0.349035793,-0.315838481,0.06439867,1
00:59.5,0.7963577,1.1368281,1.3959429,0.5635953,0.6070823,0.86726856,1.1517353,0.24154103,0.60808975,0.9575619,0.9872863,0.6185786,0.4712396,-0.06276829,0.08620075,0.6797456,0.014422851,-0.37617356,-0.30826965,0.06439867,1
00:59.6,0.7963577,1.193483918,1.437641355,0.5635953,0.6070823,0.925073678,1.197569794,0.24154103,0.60808975,0.9575619,0.9872863,0.6185786,0.4712396,-0.022117323,0.084098117,0.6797456,0.014422851,-0.381486162,-0.301112613,0.06439867,1
00:59.7,0.7963577,1.2060741,1.5082879,0.5635953,0.6070823,0.93791926,1.188090813,0.24154103,0.60808975,0.9575619,0.9872863,0.6185786,0.4712396,-0.013083775,0.08984865,0.6797456,0.014422851,-0.38266674,-0.30108503,0.06439867,1
00:59.8,0.7963577,1.2060741,1.58482167,0.5635953,0.6070823,0.93791926,1.178611832,0.24154103,0.60808975,0.9575619,0.9872863,0.6185786,0.4712396,-0.013083775,0.110176016,0.6797456,0.014422851,-0.38266674,-0.322674847,0.06439867,1
00:59.9,1.315173283,1.2060741,1.5921106,0.5635953,1.035912854,0.93791926,1.169132851,0.24154103,1.053351781,0.9575619,0.9872863,0.6185786,0.675352483,-0.013083775,0.112111956,0.6797456,0.144034319,-0.38266674,-0.32473102,0.06439867,1
