,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,check
12:37.3,0.30186135,0.101736906,0.869060392,0.25240448,0.042713165,-0.106721658,0.075208953,-0.012047192,0.61274344,-0.005496041,0.455955528,0.38215852,0.6460707,0.093569907,-0.044906404,0.12629539,0.08681454,-0.183038982,-0.344564954,-0.27667296,1
12:37.4,0.30186135,0.153012358,0.843968456,0.25240448,0.042713165,-0.097366254,0.03890172,-0.012047192,0.61274344,-0.042023236,0.4333828,0.38215852,0.6460707,0.081685461,-0.049477572,0.12629539,0.08681454,-0.199211592,-0.369226417,-0.27667296,1
12:37.5,0.30186135,0.172474777,0.81907306,0.25240448,0.042713165,-0.107890352,0.030910448,-0.012047192,0.61274344,-0.070029989,0.4333828,0.38215852,0.6460707,0.065045244,-0.051521455,0.12629539,0.08681454,-0.209896338,-0.39131266,-0.27667296,1
12:37.6,0.30186135,0.1753497,0.798988321,0.25240448,0.042713165,-0.125300856,0.034537946,-0.012047192,0.61274344,-0.085039297,0.4333828,0.38215852,0.6460707,0.044219877,-0.051582278,0.12629539,0.08681454,-0.220676054,-0.414563919,-0.27667296,1
12:37.7,0.30186135,0.17315894,0.79034558,0.25240448,0.042713165,-0.139404096,0.046876525,-0.012047192,0.61274344,-0.085176432,0.436457904,0.38215852,0.6460707,0.020676282,-0.051063498,0.12629539,0.08681454,-0.236341014,-0.438701524,-0.27667296,1
12:37.8,0.30186135,0.185527038,0.800508237,0.25240448,0.042713165,-0.13686639,0.075165134,-0.012047192,0.61274344,-0.034278298,0.461215115,0.38215852,0.6460707,-0.008954244,-0.055714462,0.12629539,0.08681454,-0.266831185,-0.470198171,-0.27667296,1
12:37.9,0.30186135,0.227851319,0.835121084,0.25240448,0.042713165,-0.099731119,0.12437955,-0.012047192,0.61274344,0.087675763,0.497189901,0.38215852,0.6460707,-0.039446463,-0.071193518,0.12629539,0.08681454,-0.309530829,-0.504297102,-0.27667296,1
12:38.0,0.30186135,0.283401869,0.875103435,0.25240448,0.042713165,-0.047810978,0.175562788,-0.012047192,0.61274344,0.159966571,0.50519604,0.38215852,0.6460707,-0.062340495,-0.087950029,0.12629539,0.08681454,-0.345347013,-0.523040785,-0.27667296,1
12:38.1,0.30186135,0.344688622,0.913287106,0.25240448,0.042713165,0.00840322,0.226574635,-0.012047192,0.61274344,0.186008808,0.5053029,0.38215852,0.6460707,-0.082442958,-0.103131669,0.12629539,0.08681454,-0.376474792,-0.526044575,-0.27667296,1
12:38.2,0.30186135,0.397619252,0.941045955,0.25240448,0.042713165,0.05529837,0.266404655,-0.012047192,0.61274344,0.190034213,0.503710467,0.38215852,0.6460707,-0.098769665,-0.114493326,0.12629539,0.08681454,-0.398653148,-0.51504337,-0.27667296,1
12:38.3,0.30186135,0.433425605,0.95448115,0.25240448,0.042713165,0.085688285,0.288495719,-0.012047192,0.61274344,0.195837153,0.498433936,0.38215852,0.6460707,-0.111094509,-0.123304409,0.12629539,0.08681454,-0.41125721,-0.499185057,-0.27667296,1
