,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,check
41:37.0,1.1470047,0.465833608,0.886967946,0.9233166,0.93533516,0.02174128,0.441048897,0.8438096,0.73175675,0.14299104,0.4854729,0.7756324,0.57082397,-0.153043936,-0.059933059,0.1995598,0.3321025,-0.457257058,-0.429923897,0.043135487,1
41:37.1,1.1470047,0.437200283,0.855075029,0.9233166,0.93533516,0.003835429,0.475087837,0.8438096,0.73175675,0.14299104,0.4854729,0.7756324,0.57082397,-0.173688979,-0.088628424,0.1995598,0.3321025,-0.448569409,-0.42954102,0.043135487,1
41:37.2,1.1470047,0.42696875,0.8344004,0.9233166,0.93533516,-0.002871412,0.47801664,0.8438096,0.73175675,0.14299104,0.4854729,0.7756324,0.57082397,-0.17213702,-0.09622634,0.1995598,0.3321025,-0.44754413,-0.42281625,0.043135487,1
41:37.3,1.1470047,0.401231139,0.812182372,0.9233166,0.93533516,-0.01290791,0.467681926,0.8438096,0.73175675,0.144843161,0.4854729,0.7756324,0.57082397,-0.159614575,-0.092178866,0.1995598,0.3321025,-0.451256864,-0.413004785,0.043135487,1
41:37.4,1.142281896,0.35650313,0.802512328,0.9233166,0.930559355,-0.036531333,0.462848602,0.8438096,0.73119189,0.16519401,0.479599023,0.7756324,0.570323275,-0.139969321,-0.091780341,0.1995598,0.331492382,-0.458747546,-0.410789463,0.043135487,1
41:37.5,1.0336574,0.35151857,0.70344967,0.9233166,0.82071584,-0.07026895,0.40905762,0.8438096,0.7182001,0.16467696,0.34449986,0.7756324,0.5588073,-0.12507753,-0.10508471,0.1995598,0.31745967,-0.46541792,-0.4143076,0.043135487,1
41:37.6,0.875983487,0.459465917,0.573849586,0.720300008,0.677955856,-0.082803701,0.367753367,0.779090475,0.687779821,0.152840125,0.086301208,0.741232393,0.559046213,-0.113206584,-0.112083125,0.172203744,0.292827216,-0.468360655,-0.416410912,0.011816859,1
41:37.7,0.728249425,0.665014883,0.461648533,0.487650274,0.56088311,-0.015517753,0.360887736,0.750325413,0.64004965,0.24101051,-0.098508234,0.739266742,0.568391625,-0.102932967,-0.111182114,0.160922389,0.255892554,-0.469669264,-0.417446844,-0.005744868,1
41:37.8,0.655486102,0.70466185,0.402474827,0.45567557,0.501063069,-0.014765645,0.379520854,0.7466181,0.582449151,0.2536798,-0.137880856,0.7391996,0.578250302,-0.092912074,-0.111786634,0.15948068,0.206471747,-0.46781694,-0.417966837,-0.008059161,1
41:37.9,0.64163405,0.719584649,0.390418635,0.45567557,0.48948884,-0.026827363,0.408320635,0.7466181,0.56903577,0.2536798,-0.145517098,0.7391996,0.58049375,-0.085995529,-0.125408493,0.15948068,0.19481453,-0.473394581,-0.418749112,-0.008059161,1
