,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,check
47:07.3,0.63589203,0.081611797,0.794535763,0.5181891,0.2745147,-0.051905814,0.313156823,0.1731831,0.5229957,0.048924648,0.511723948,0.13751394,0.46154654,-0.16067711,-0.159395033,0.35525218,0.16913924,-0.656448961,-0.508307089,0.010007042,1
47:07.4,0.63589203,0.093553987,0.794575268,0.5181891,0.2745147,-0.052096744,0.330378023,0.1731831,0.5229957,-0.044189934,0.522263385,0.13751394,0.46154654,-0.143171184,-0.166630913,0.35525218,0.16913924,-0.627573768,-0.50686144,0.010007041,1
47:07.5,0.63589203,0.090153675,0.785105116,0.5181891,0.2745147,-0.065076712,0.343419944,0.1731831,0.5229957,-0.095391284,0.52239984,0.13751394,0.46154654,-0.128085152,-0.160078246,0.35525218,0.16913924,-0.618588038,-0.499397091,0.010007041,1
47:07.6,0.63589203,0.087737732,0.757790865,0.5181891,0.2745147,-0.065291503,0.349702606,0.1731831,0.5229957,-0.123748508,0.52239984,0.13751394,0.46154654,-0.11903362,-0.152677077,0.35525218,0.16913924,-0.619315665,-0.485754313,0.010007041,1
47:07.7,0.63589203,0.086416842,0.744529154,0.5181891,0.2745147,-0.055928897,0.349251683,0.1731831,0.5229957,-0.1293543,0.52239984,0.13751394,0.46154654,-0.118615198,-0.141981408,0.35525218,0.16913924,-0.624951723,-0.476222264,0.010007042,1
47:07.8,0.63589203,0.095981072,0.752400031,0.5181891,0.2745147,-0.051701723,0.357861479,0.1731831,0.5229957,-0.127354629,0.52239984,0.13751394,0.46154654,-0.12545845,-0.13579514,0.35525218,0.16913924,-0.631319107,-0.468575627,0.010007042,1
47:07.9,0.63589203,0.15903767,0.773892523,0.5181891,0.2745147,-0.054236008,0.375815844,0.1731831,0.5229957,-0.120622164,0.52239984,0.13751394,0.46154654,-0.136475858,-0.13223978,0.35525218,0.16913924,-0.639720728,-0.461712429,0.010007042,1
47:08.0,0.63589203,0.227911537,0.7982654,0.5181891,0.2745147,-0.057730226,0.395807565,0.1731831,0.5229957,-0.114705029,0.52239984,0.13751394,0.46154654,-0.145469499,-0.12916757,0.35525218,0.16913924,-0.644991981,-0.458038944,0.010007042,1
47:08.1,0.63589203,0.239044608,0.819441155,0.5181891,0.2745147,-0.057651395,0.415051543,0.1731831,0.5229957,-0.11477127,0.521648163,0.13751394,0.46154654,-0.1490606,-0.12919648,0.35525218,0.16913924,-0.645280667,-0.457396324,0.010007042,1
47:08.2,0.63589203,0.254096746,0.830154805,0.5181891,0.2745147,-0.053222819,0.430781941,0.1731831,0.5229957,-0.11477127,0.517599579,0.13751394,0.46154654,-0.152888322,-0.135683942,0.35525218,0.16913924,-0.653326077,-0.460809284,0.010007041,1
