,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2023-04-29 22:27:06.617,0.63580894,1.1081429,0.5155096,1.2354175,0.20206182,0.7456452,0.27021742,0.761634,0.25727963,0.8366807,0.3982432,0.84208745,0.3923071,0.015051393,0.031250224,0.79710054,0.04084186,-0.68141365,-0.31655067,0.62696654
2023-04-29 22:27:06.717,0.66446656,0.9267274,0.50107247,1.2354175,0.37468603,0.5603061,0.27915353,0.761634,0.53005564,0.40536967,0.3982432,0.84208745,0.43901637,-0.034387123,0.012950757,0.79710054,0.02012284,-0.7448446,-0.3219474,0.62696654
2023-04-29 22:27:06.817,0.66446656,0.9267274,0.5332843,1.2354175,0.37468603,0.5603061,0.315797,0.761634,0.53005564,0.40536967,0.39988023,0.84208745,0.43901637,-0.034387123,-0.0012400387,0.79710054,0.02012284,-0.7448446,-0.32545874,0.62696654
2023-04-29 22:27:06.917,1.0293574,0.9267274,0.62327075,1.2354175,0.845268,0.5603061,0.38645887,0.761634,1.0870458,0.40536967,0.4037924,0.84208745,0.53552663,-0.034387123,-0.0073529775,0.79710054,0.002408783,-0.7448446,-0.32858676,0.62696654
2023-04-29 22:27:07.017,1.2515924,0.9267274,0.7327453,1.2354175,1.0628787,0.5603061,0.4664181,0.761634,1.1738553,0.40536967,0.43519187,0.84208745,0.60009915,-0.034387123,-0.0066329204,0.79710054,-0.00823652,-0.7448446,-0.33172172,0.62696654
2023-04-29 22:27:07.117,1.3756864,0.9267274,0.8231872,1.2354175,1.1591549,0.5603061,0.5284805,0.761634,1.1826489,0.40536967,0.43941975,0.84208745,0.623988,-0.034387123,-0.0046281153,0.79710054,-0.018006528,-0.7448446,-0.33547142,0.62696654
2023-04-29 22:27:07.217,1.4279399,0.97207594,0.8814246,1.2354175,1.1792368,0.5958289,0.5624748,0.761634,1.1826489,0.40536967,0.43941975,0.84208745,0.6144292,-0.03818208,-0.0063615525,0.79710054,-0.026751107,-0.74303424,-0.34247306,0.62696654
2023-04-29 22:27:07.317,1.4753729,1.0137403,0.9078329,1.2791052,1.2264771,0.63883376,0.57291114,0.80046684,1.1826489,0.4043886,0.43941975,0.8310671,0.64507484,-0.044922136,-0.014544849,0.81199354,-0.0070030694,-0.7353254,-0.3559497,0.644496
2023-04-29 22:27:07.417,1.524728,1.0399796,0.91104925,1.3066692,1.2794449,0.67330694,0.5680243,0.83486104,1.1826489,0.40068546,0.43941975,0.81759536,0.67629486,-0.049976844,-0.030633226,0.8214801,-0.010331725,-0.720343,-0.3805934,0.65884143
2023-04-29 22:27:07.517,1.575338,1.034993,0.90162766,1.2954984,1.3406708,0.6785811,0.55136925,0.8563339,1.1826489,0.3956373,0.43941975,0.80442464,0.7067172,-0.05584295,-0.050862275,0.82596105,-0.060459103,-0.70122623,-0.419656,0.6608169
2023-04-29 22:27:07.617,1.575338,0.9836666,0.88910466,1.2356757,1.3406708,0.64171046,0.524903,0.8585258,1.1826489,0.38275737,0.44012997,0.78424746,0.7067172,-0.067453854,-0.0683008,0.8332218,-0.060459103,-0.6818837,-0.47010985,0.6385784
