,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2023-04-29 00:55:22.903,0.0,0.0,1.2548081,0.0,0.0,0.0,0.67184067,0.0,0.0,0.0,0.6377762,0.0,0.0,0.0,-0.06299132,0.0,0.0,0.0,-0.51605564,0.0
2023-04-29 00:55:23.003,0.0,0.0,1.2548081,0.0,0.0,0.0,0.67184067,0.0,0.0,0.0,0.6377762,0.0,0.0,0.0,-0.06299132,0.0,0.0,0.0,-0.51605564,0.0
2023-04-29 00:55:23.103,0.0,0.0,1.2675273,0.0,0.0,0.0,0.4144817,0.0,0.0,0.0,0.6377762,0.0,0.0,0.0,-0.0893414,0.0,0.0,0.0,-0.6145018,0.0
2023-04-29 00:55:23.203,0.0,0.0,1.2158638,0.0,0.0,0.0,0.35070583,0.0,0.0,0.0,0.40785697,0.0,0.0,0.0,-0.09898075,0.0,0.0,0.0,-0.66368574,0.0
2023-04-29 00:55:23.303,0.0,0.0,1.1430608,0.0,0.0,0.0,0.32018703,0.0,0.0,0.0,0.32407695,0.0,0.0,0.0,-0.1071148,0.0,0.0,0.0,-0.6722335,0.0
2023-04-29 00:55:23.403,0.0,0.0,1.0546721,0.0,0.0,0.0,0.29839265,0.0,0.0,0.0,0.35357997,0.0,0.0,0.0,-0.112813145,0.0,0.0,0.0,-0.63292015,0.0
2023-04-29 00:55:23.503,0.0,0.0,0.86004573,0.0,0.0,0.0,0.27850285,0.0,0.0,0.0,0.3886946,0.0,0.0,0.0,-0.11789736,0.0,0.0,0.0,-0.53313506,0.0
2023-04-29 00:55:23.603,0.0,0.0,0.8157962,0.0,0.0,0.0,0.28876975,0.0,0.0,0.0,0.3886946,0.0,0.0,0.0,-0.13037351,0.0,0.0,0.0,-0.51518416,0.0
2023-04-29 00:55:23.703,0.0,0.0,0.8311637,0.0,0.0,0.0,0.32939187,0.0,0.0,0.0,0.39741048,0.0,0.0,0.0,-0.14366655,0.0,0.0,0.0,-0.51368606,0.0
2023-04-29 00:55:23.803,0.0,0.0,0.8311637,0.0,0.0,0.0,0.32939187,0.0,0.0,0.0,0.39741048,0.0,0.0,0.0,-0.14366655,0.0,0.0,0.0,-0.51368606,0.0
2023-04-29 00:55:23.903,0.0,0.0,0.8730546,0.0,0.0,0.0,0.43141764,0.0,0.0,0.0,0.48410013,0.0,0.0,0.0,-0.1471474,0.0,0.0,0.0,-0.52041453,0.0
2023-04-29 00:55:24.003,0.0,0.0,1.0449413,0.0,0.0,0.0,0.5657828,0.0,0.0,0.0,0.6392187,0.0,0.0,0.0,-0.13709867,0.0,0.0,0.0,-0.5493966,0.0
2023-04-29 00:55:24.103,0.0,0.0,1.1580988,0.0,0.0,0.0,0.66886216,0.0,0.0,0.0,0.716885,0.0,0.0,0.0,-0.12396805,0.0,0.0,0.0,-0.5665571,0.0
2023-04-29 00:55:24.203,0.0,0.0,1.2381164,0.0,0.0,0.0,0.73248625,0.0,0.0,0.0,0.716885,0.0,0.0,0.0,-0.10754388,0.0,0.0,0.0,-0.5729092,0.0
2023-04-29 00:55:24.303,0.0,0.0,1.2316874,0.0,0.0,0.0,0.7181542,0.0,0.0,0.0,0.716885,0.0,0.0,0.0,-0.10363613,0.0,0.0,0.0,-0.5708677,0.0
2023-04-29 00:55:24.403,0.0,0.0,1.2316874,0.0,0.0,0.0,0.7181542,0.0,0.0,0.0,0.716885,0.0,0.0,0.0,-0.10363613,0.0,0.0,0.0,-0.5708677,0.0
2023-04-29 00:55:24.503,0.0,0.0,1.2114122,0.0,0.0,0.0,0.6947047,0.0,0.0,0.0,0.716885,0.0,0.0,0.0,-0.10197413,0.0,0.0,0.0,-0.5671946,0.0
2023-04-29 00:55:24.603,0.0,0.0,1.1852539,0.0,0.0,0.0,0.66881937,0.0,0.0,0.0,0.716885,0.0,0.0,0.0,-0.10279298,0.0,0.0,0.0,-0.56290495,0.0
2023-04-29 00:55:24.703,0.0,0.0,1.1778693,0.0,0.0,0.0,0.6600146,0.0,0.0,0.0,0.716885,0.0,0.0,0.0,-0.10405699,0.0,0.0,0.0,-0.5607418,0.0
2023-04-29 00:55:24.803,0.0,0.0,1.1798986,0.0,0.0,0.0,0.6599661,0.0,0.0,0.0,0.716885,0.0,0.0,0.0,-0.0964314,0.0,0.0,0.0,-0.5695346,0.0
2023-04-29 00:55:24.903,0.0,0.0,1.1798986,0.0,0.0,0.0,0.6599661,0.0,0.0,0.0,0.716885,0.0,0.0,0.0,-0.0964314,0.0,0.0,0.0,-0.5695346,0.0
2023-04-29 00:55:25.003,0.0,0.0,1.1798986,0.0,0.0,0.0,0.6599661,0.0,0.0,0.0,0.716885,0.0,0.0,0.0,-0.0964314,0.0,0.0,0.0,-0.5695346,0.0
2023-04-29 00:55:25.103,0.0,0.0,1.189592,0.0,0.0,0.0,0.6729936,0.0,0.0,0.0,0.72088444,0.0,0.0,0.0,-0.077601396,0.0,0.0,0.0,-0.586655,0.0
2023-04-29 00:55:25.203,0.0,0.0,1.189592,0.0,0.0,0.0,0.6729936,0.0,0.0,0.0,0.72088444,0.0,0.0,0.0,-0.077601396,0.0,0.0,0.0,-0.586655,0.0
2023-04-29 00:55:25.303,0.0,0.9372354,1.2123244,0.0,0.0,0.61483693,0.703785,0.0,0.0,0.29692858,0.7265,0.0,0.0,0.021728287,-0.052690312,0.0,0.0,-0.33106762,-0.59969395,0.0
2023-04-29 00:55:25.403,0.0,1.1741767,1.2493439,0.0,0.0,0.740751,0.75091034,0.0,0.0,0.54353845,0.7266383,0.0,0.0,0.02430387,-0.030975789,0.0,0.0,-0.33620033,-0.59775555,0.0
2023-04-29 00:55:25.503,0.0,1.1741767,1.2493439,0.0,0.0,0.740751,0.75091034,0.0,0.0,0.54353845,0.7266383,0.0,0.0,0.02430387,-0.030975789,0.0,0.0,-0.33620033,-0.59775555,0.0
2023-04-29 00:55:25.603,0.0,1.1741767,1.289412,0.0,0.0,0.740751,0.8012463,0.0,0.0,0.54353845,0.7266383,0.0,0.0,0.02430387,-0.013624342,0.0,0.0,-0.33620033,-0.579835,0.0
